"X"	"DE"
"491"	"ENSG00000184454"	FALSE
"492"	"ENSG00000133226"	TRUE
"493"	"ENSG00000169504"	TRUE
"494"	"ENSG00000117614"	FALSE
"495"	"ENSG00000117616"	TRUE
"496"	"ENSG00000272432"	FALSE
"497"	"ENSG00000261349"	FALSE
"498"	"ENSG00000187010"	FALSE
"499"	"ENSG00000224183"	FALSE
"500"	"ENSG00000183726"	FALSE
"501"	"ENSG00000188672"	FALSE
"502"	"ENSG00000238084"	FALSE
"503"	"ENSG00000204178"	FALSE
"504"	"ENSG00000157978"	TRUE
"505"	"ENSG00000117643"	TRUE
"506"	"ENSG00000233478"	FALSE
"507"	"ENSG00000162430"	TRUE
"508"	"ENSG00000228172"	FALSE
"509"	"ENSG00000117640"	TRUE
"510"	"ENSG00000223474"	TRUE
"511"	"ENSG00000272478"	FALSE
"512"	"ENSG00000127423"	FALSE
"513"	"ENSG00000236528"	TRUE
"514"	"ENSG00000182749"	TRUE
"515"	"ENSG00000117632"	FALSE
"516"	"ENSG00000158006"	FALSE
"517"	"ENSG00000158008"	TRUE
"518"	"ENSG00000158014"	FALSE
"519"	"ENSG00000265320"	FALSE
"520"	"ENSG00000175087"	TRUE
"521"	"ENSG00000142684"	FALSE
"522"	"ENSG00000236782"	FALSE
"523"	"ENSG00000142675"	TRUE
"524"	"ENSG00000188782"	FALSE
"525"	"ENSG00000236155"	FALSE
"526"	"ENSG00000130695"	FALSE
"527"	"ENSG00000142669"	FALSE
"528"	"ENSG00000158062"	FALSE
"529"	"ENSG00000169442"	FALSE
"530"	"ENSG00000176092"	TRUE
"531"	"ENSG00000225854"	FALSE
"532"	"ENSG00000265143"	FALSE
"533"	"ENSG00000176083"	FALSE
"534"	"ENSG00000131914"	TRUE
"535"	"ENSG00000117682"	FALSE
"536"	"ENSG00000223583"	FALSE
"537"	"ENSG00000225891"	FALSE
"538"	"ENSG00000198830"	FALSE
"539"	"ENSG00000117676"	TRUE
"540"	"ENSG00000260063"	FALSE
"541"	"ENSG00000117713"	TRUE
"542"	"ENSG00000266138"	FALSE
"543"	"ENSG00000060642"	FALSE
"544"	"ENSG00000204160"	TRUE
"545"	"ENSG00000175793"	TRUE
"546"	"ENSG00000226698"	FALSE
"547"	"ENSG00000142751"	FALSE
"548"	"ENSG00000198746"	FALSE
"549"	"ENSG00000090273"	FALSE
"550"	"ENSG00000175707"	TRUE
"551"	"ENSG00000172746"	FALSE
"552"	"ENSG00000225294"	FALSE
"553"	"ENSG00000253368"	TRUE
"554"	"ENSG00000158246"	TRUE
"555"	"ENSG00000090020"	TRUE
"556"	"ENSG00000229985"	FALSE
"557"	"ENSG00000214973"	FALSE
"558"	"ENSG00000225159"	FALSE
"559"	"ENSG00000225990"	FALSE
"560"	"ENSG00000142784"	FALSE
"561"	"ENSG00000186501"	FALSE
"562"	"ENSG00000241547"	FALSE
"563"	"ENSG00000142765"	TRUE
"564"	"ENSG00000142733"	TRUE
"565"	"ENSG00000142748"	FALSE
"566"	"ENSG00000174950"	TRUE
"567"	"ENSG00000181773"	TRUE
"568"	"ENSG00000158195"	FALSE
"569"	"ENSG00000126705"	TRUE
"570"	"ENSG00000235912"	FALSE
"571"	"ENSG00000126709"	FALSE
"572"	"ENSG00000225886"	FALSE
"573"	"ENSG00000009780"	FALSE
"574"	"ENSG00000117758"	TRUE
"575"	"ENSG00000270031"	FALSE
"576"	"ENSG00000117751"	FALSE
"577"	"ENSG00000268552"	FALSE
"578"	"ENSG00000130775"	FALSE
"579"	"ENSG00000117748"	FALSE
"580"	"ENSG00000130768"	TRUE
"581"	"ENSG00000227050"	TRUE
"582"	"ENSG00000158156"	TRUE
"583"	"ENSG00000158161"	FALSE
"584"	"ENSG00000228589"	FALSE
"585"	"ENSG00000214812"	FALSE
"586"	"ENSG00000169403"	FALSE
"587"	"ENSG00000126698"	FALSE
"588"	"ENSG00000215902"	FALSE
"589"	"ENSG00000269804"	FALSE
"590"	"ENSG00000130770"	FALSE
"591"	"ENSG00000270605"	TRUE
"592"	"ENSG00000271398"	FALSE
"593"	"ENSG00000130766"	FALSE
"594"	"ENSG00000130772"	FALSE
"595"	"ENSG00000204138"	TRUE
"596"	"ENSG00000229820"	FALSE
"597"	"ENSG00000180198"	FALSE
"598"	"ENSG00000242125"	FALSE
"599"	"ENSG00000200087"	FALSE
"600"	"ENSG00000231468"	FALSE
"601"	"ENSG00000180098"	TRUE
"602"	"ENSG00000197989"	FALSE
"603"	"ENSG00000221539"	FALSE
"604"	"ENSG00000120656"	FALSE
"605"	"ENSG00000188060"	FALSE
"606"	"ENSG00000229388"	FALSE
"607"	"ENSG00000162419"	FALSE
"608"	"ENSG00000198492"	TRUE
"609"	"ENSG00000116329"	FALSE
"610"	"ENSG00000226852"	FALSE
"611"	"ENSG00000233427"	FALSE
"612"	"ENSG00000159023"	FALSE
"613"	"ENSG00000225616"	FALSE
"614"	"ENSG00000253304"	FALSE
"615"	"ENSG00000116350"	TRUE
"616"	"ENSG00000227637"	FALSE
"617"	"ENSG00000116353"	FALSE
"618"	"ENSG00000060656"	FALSE
"619"	"ENSG00000225011"	FALSE
"620"	"ENSG00000162510"	FALSE
"621"	"ENSG00000186056"	FALSE
"622"	"ENSG00000162511"	FALSE
"623"	"ENSG00000223382"	FALSE
"624"	"ENSG00000235143"	FALSE
"625"	"ENSG00000162512"	FALSE
"626"	"ENSG00000134644"	FALSE
"627"	"ENSG00000200154"	FALSE
"628"	"ENSG00000225142"	FALSE
"629"	"ENSG00000084628"	FALSE
"630"	"ENSG00000060688"	FALSE
"631"	"ENSG00000229447"	FALSE
"632"	"ENSG00000121766"	TRUE
"633"	"ENSG00000229044"	TRUE
"634"	"ENSG00000121769"	FALSE
"635"	"ENSG00000168528"	FALSE
"636"	"ENSG00000268950"	FALSE
"637"	"ENSG00000215899"	FALSE
"638"	"ENSG00000223907"	FALSE
"639"	"ENSG00000142910"	FALSE
"640"	"ENSG00000121764"	FALSE
"641"	"ENSG00000162517"	FALSE
"642"	"ENSG00000235790"	FALSE
"643"	"ENSG00000264078"	FALSE
"644"	"ENSG00000084636"	FALSE
"645"	"ENSG00000121753"	TRUE
"646"	"ENSG00000254545"	FALSE
"647"	"ENSG00000134668"	FALSE
"648"	"ENSG00000203620"	FALSE
"649"	"ENSG00000269967"	FALSE
"650"	"ENSG00000184007"	TRUE
"651"	"ENSG00000212673"	FALSE
"652"	"ENSG00000228634"	FALSE
"653"	"ENSG00000121774"	FALSE
"654"	"ENSG00000203325"	FALSE
"655"	"ENSG00000121775"	FALSE
"656"	"ENSG00000025800"	FALSE
"657"	"ENSG00000084652"	TRUE
"658"	"ENSG00000160050"	FALSE
"659"	"ENSG00000224066"	FALSE
"660"	"ENSG00000160051"	FALSE
"661"	"ENSG00000222046"	FALSE
"662"	"ENSG00000160055"	FALSE
"663"	"ENSG00000084623"	FALSE
"664"	"ENSG00000220785"	FALSE
"665"	"ENSG00000183615"	FALSE
"666"	"ENSG00000182866"	FALSE
"667"	"ENSG00000116478"	FALSE
"668"	"ENSG00000175130"	TRUE
"669"	"ENSG00000162526"	FALSE
"670"	"ENSG00000225828"	FALSE
"671"	"ENSG00000160058"	TRUE
"672"	"ENSG00000224333"	FALSE
"673"	"ENSG00000229259"	FALSE
"674"	"ENSG00000273274"	FALSE
"675"	"ENSG00000160062"	TRUE
"676"	"ENSG00000176261"	FALSE
"677"	"ENSG00000162521"	FALSE
"678"	"ENSG00000162520"	FALSE
"679"	"ENSG00000162522"	TRUE
"680"	"ENSG00000134684"	FALSE
"681"	"ENSG00000116497"	FALSE
"682"	"ENSG00000160097"	FALSE
"683"	"ENSG00000121905"	FALSE
"684"	"ENSG00000121900"	FALSE
"685"	"ENSG00000116514"	TRUE
"686"	"ENSG00000267885"	FALSE
"687"	"ENSG00000236065"	FALSE
"688"	"ENSG00000004455"	FALSE
"689"	"ENSG00000142920"	FALSE
"690"	"ENSG00000116525"	TRUE
"691"	"ENSG00000160094"	TRUE
"692"	"ENSG00000225313"	TRUE
"693"	"ENSG00000134686"	TRUE
"694"	"ENSG00000121903"	FALSE
"695"	"ENSG00000121904"	FALSE
"696"	"ENSG00000163866"	FALSE
"697"	"ENSG00000189280"	TRUE
